,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123
307,1,1,4,3,1,1,2,3,3,3,2,2,3,3,2,2
308,2,2,3,3,3,2,3,4,4,4,3,3,3,3,-2,-2
309,2,1,3,2,-2,2,3,3,3,-2,-2,4,1,2,3,3
310,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
311,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3
312,1,3,1,3,2,3,3,4,4,4,4,4,4,4,3,4
313,1,2,3,3,4,4,4,4,4,4,4,4,4,3,3,4
314,2,1,3,3,4,2,4,4,3,2,3,2,3,2,3,3
315,4,2,3,4,-2,2,3,4,4,4,4,4,-2,-2,-2,-2
316,-2,2,3,3,-2,2,4,3,4,4,3,3,-2,-2,-2,-2
317,1,2,2,2,3,2,2,2,4,3,3,3,2,2,2,2
318,2,2,3,1,-2,2,2,2,2,3,3,-2,2,-2,-2,-2
319,2,1,4,4,4,3,3,4,4,4,4,4,4,4,3,4
320,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,3
321,1,1,1,1,1,2,2,-2,-2,2,2,-2,-2,-2,-2,-2
322,1,1,2,2,-2,1,3,3,4,4,3,1,3,3,3,3
323,1,1,1,1,-2,1,-2,-2,-2,-2,-2,-2,4,4,4,4
324,1,1,2,2,2,1,2,2,2,2,2,2,-2,-2,-2,-2
325,2,2,3,3,3,2,3,3,3,3,2,1,3,3,3,3
326,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
327,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
328,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,3,3,3,3
329,1,1,4,2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2
330,3,4,4,4,2,2,4,4,3,3,4,2,4,3,2,3
331,1,2,4,4,3,3,3,2,3,3,2,3,3,3,2,2
332,1,1,1,2,-2,1,1,1,-2,-2,2,1,1,1,1,1
333,1,2,4,4,3,3,3,3,4,4,3,-2,3,2,2,2
334,1,1,1,2,-2,2,1,1,3,3,2,1,1,1,2,-2
335,2,3,4,4,3,2,2,3,-2,-2,-2,-2,3,2,2,2
336,1,1,2,2,-2,2,2,1,4,4,-2,1,1,1,3,3
337,1,3,3,3,-2,3,2,2,3,3,3,2,2,2,-2,-2
338,1,1,1,1,-2,1,1,1,3,3,2,1,1,2,2,4
339,1,1,-2,1,-2,1,1,1,-2,-2,-2,1,-2,1,-2,-2
340,1,2,3,3,3,2,2,2,4,3,3,2,3,2,2,3
